"Project","File Path","Feature"
"spring-data-examples","D:\JUnit5Projects\spring-data-examples\cassandra\example\src\test\java\example\springdata\cassandra\auditing\AuditedPersonRepositoryTests.java","AssertJ"
"spring-data-examples","D:\JUnit5Projects\spring-data-examples\cassandra\example\src\test\java\example\springdata\cassandra\basic\BasicUserRepositoryTests.java","AssertJ"
"spring-data-examples","D:\JUnit5Projects\spring-data-examples\cassandra\example\src\test\java\example\springdata\cassandra\basic\CassandraOperationsIntegrationTests.java","AssertJ"
"spring-data-examples","D:\JUnit5Projects\spring-data-examples\cassandra\example\src\test\java\example\springdata\cassandra\convert\ConversionIntegrationTests.java","AssertJ"
"spring-data-examples","D:\JUnit5Projects\spring-data-examples\cassandra\example\src\test\java\example\springdata\cassandra\optimisticlocking\OptimisticPersonRepositoryTests.java","AssertJ"
"spring-data-examples","D:\JUnit5Projects\spring-data-examples\cassandra\example\src\test\java\example\springdata\cassandra\projection\CustomerRepositoryIntegrationTest.java","AssertJ"
"spring-data-examples","D:\JUnit5Projects\spring-data-examples\cassandra\example\src\test\java\example\springdata\cassandra\udt\UserDefinedTypeIntegrationTest.java","AssertJ"
"spring-data-examples","D:\JUnit5Projects\spring-data-examples\cassandra\java8\src\test\java\example\springdata\cassandra\java8\Java8IntegrationTests.java","AssertJ"
"spring-data-examples","D:\JUnit5Projects\spring-data-examples\cassandra\java8\src\test\java\example\springdata\cassandra\java8\Jsr310IntegrationTests.java","AssertJ"
"spring-data-examples","D:\JUnit5Projects\spring-data-examples\cassandra\reactive\src\test\java\example\springdata\cassandra\auditing\AuditingIntegrationTests.java","AssertJ"
"spring-data-examples","D:\JUnit5Projects\spring-data-examples\cassandra\reactive\src\test\java\example\springdata\cassandra\people\ReactiveCassandraTemplateIntegrationTest.java","AssertJ"
"spring-data-examples","D:\JUnit5Projects\spring-data-examples\cassandra\reactive\src\test\java\example\springdata\cassandra\spel\ExpressionIntegrationTests.java","AssertJ"
