App,TestClass,TestFilePath,ProductionFilePath,RelativeTestFilePath,RelativeProductionFilePath,Assertion Roulette,Conditional Test Logic,Constructor Initialization,Default Test,EmptyTest,Exception Catching Throwing,General Fixture,Mystery Guest,Print Statement,Redundant Assertion,Sensitive Equality,Verbose Test,Sleepy Test,Eager Test,Lazy Test,Duplicate Assert,Unknown Test,IgnoredTest,Resource Optimism,Magic Number Test,Dependent Test
2.2.1 soul,AbstractConfigurationTest.java,C:\JUNit5Projects\2.2.1 soul\soul-admin\src\test\java\org\dromara\soul\admin\AbstractConfigurationTest.java,,soul-admin\src\test\java\org\dromara\soul\admin\AbstractConfigurationTest.java,,false,false,false,false,false,false,false,false,false,false,false,false,false,,,false,false,false,false,false,false
2.2.1 soul,AbstractSpringIntegrationTest.java,C:\JUNit5Projects\2.2.1 soul\soul-admin\src\test\java\org\dromara\soul\admin\AbstractSpringIntegrationTest.java,,soul-admin\src\test\java\org\dromara\soul\admin\AbstractSpringIntegrationTest.java,,false,false,false,false,false,false,false,false,false,false,false,false,false,,,false,false,false,false,false,false
2.2.1 soul,HttpSyncPropertiesTest.java,C:\JUNit5Projects\2.2.1 soul\soul-admin\src\test\java\org\dromara\soul\admin\config\HttpSyncPropertiesTest.java,C:\JUNit5Projects\2.2.1 soul\soul-admin\src\main\java\org\dromara\soul\admin\config\HttpSyncProperties.java,soul-admin\src\test\java\org\dromara\soul\admin\config\HttpSyncPropertiesTest.java,soul-admin\src\main\java\org\dromara\soul\admin\config\HttpSyncProperties.java,true,false,false,false,false,false,false,false,false,false,false,false,false,true,true,false,false,false,false,false,false
2.2.1 soul,SecretConfigurationTest.java,C:\JUNit5Projects\2.2.1 soul\soul-admin\src\test\java\org\dromara\soul\admin\config\SecretConfigurationTest.java,C:\JUNit5Projects\2.2.1 soul\soul-admin\src\main\java\org\dromara\soul\admin\config\SecretConfiguration.java,soul-admin\src\test\java\org\dromara\soul\admin\config\SecretConfigurationTest.java,soul-admin\src\main\java\org\dromara\soul\admin\config\SecretConfiguration.java,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false
2.2.1 soul,SecretPropertiesTest.java,C:\JUNit5Projects\2.2.1 soul\soul-admin\src\test\java\org\dromara\soul\admin\config\SecretPropertiesTest.java,C:\JUNit5Projects\2.2.1 soul\soul-admin\src\main\java\org\dromara\soul\admin\config\SecretProperties.java,soul-admin\src\test\java\org\dromara\soul\admin\config\SecretPropertiesTest.java,soul-admin\src\main\java\org\dromara\soul\admin\config\SecretProperties.java,false,true,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false
2.2.1 soul,SwaggerConfigurationTest.java,C:\JUNit5Projects\2.2.1 soul\soul-admin\src\test\java\org\dromara\soul\admin\config\SwaggerConfigurationTest.java,C:\JUNit5Projects\2.2.1 soul\soul-admin\src\main\java\org\dromara\soul\admin\config\SwaggerConfiguration.java,soul-admin\src\test\java\org\dromara\soul\admin\config\SwaggerConfigurationTest.java,soul-admin\src\main\java\org\dromara\soul\admin\config\SwaggerConfiguration.java,false,false,false,false,false,false,false,false,false,false,false,false,false,false,true,false,false,false,false,false,false
2.2.1 soul,WebsocketSyncPropertiesTest.java,C:\JUNit5Projects\2.2.1 soul\soul-admin\src\test\java\org\dromara\soul\admin\config\WebsocketSyncPropertiesTest.java,C:\JUNit5Projects\2.2.1 soul\soul-admin\src\main\java\org\dromara\soul\admin\config\WebsocketSyncProperties.java,soul-admin\src\test\java\org\dromara\soul\admin\config\WebsocketSyncPropertiesTest.java,soul-admin\src\main\java\org\dromara\soul\admin\config\WebsocketSyncProperties.java,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false
2.2.1 soul,ConfigControllerTest.java,C:\JUNit5Projects\2.2.1 soul\soul-admin\src\test\java\org\dromara\soul\admin\controller\ConfigControllerTest.java,C:\JUNit5Projects\2.2.1 soul\soul-admin\src\main\java\org\dromara\soul\admin\controller\ConfigController.java,soul-admin\src\test\java\org\dromara\soul\admin\controller\ConfigControllerTest.java,soul-admin\src\main\java\org\dromara\soul\admin\controller\ConfigController.java,false,false,false,false,false,true,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false
2.2.1 soul,IndexControllerTest.java,C:\JUNit5Projects\2.2.1 soul\soul-admin\src\test\java\org\dromara\soul\admin\controller\IndexControllerTest.java,C:\JUNit5Projects\2.2.1 soul\soul-admin\src\main\java\org\dromara\soul\admin\controller\IndexController.java,soul-admin\src\test\java\org\dromara\soul\admin\controller\IndexControllerTest.java,soul-admin\src\main\java\org\dromara\soul\admin\controller\IndexController.java,false,false,false,false,false,true,false,false,false,false,false,false,false,false,false,false,true,false,false,false,false
2.2.1 soul,PlatformControllerTest.java,C:\JUNit5Projects\2.2.1 soul\soul-admin\src\test\java\org\dromara\soul\admin\controller\PlatformControllerTest.java,C:\JUNit5Projects\2.2.1 soul\soul-admin\src\main\java\org\dromara\soul\admin\controller\PlatformController.java,soul-admin\src\test\java\org\dromara\soul\admin\controller\PlatformControllerTest.java,soul-admin\src\main\java\org\dromara\soul\admin\controller\PlatformController.java,false,false,false,false,false,true,false,false,false,false,false,false,false,false,false,false,true,false,false,false,false
