App,TestClass,TestFilePath,ProductionFilePath,RelativeTestFilePath,RelativeProductionFilePath,Assertion Roulette,Conditional Test Logic,Constructor Initialization,Default Test,EmptyTest,Exception Catching Throwing,General Fixture,Mystery Guest,Print Statement,Redundant Assertion,Sensitive Equality,Verbose Test,Sleepy Test,Eager Test,Lazy Test,Duplicate Assert,Unknown Test,IgnoredTest,Resource Optimism,Magic Number Test,Dependent Test
aws-doc-sdk-examples,TryDaxTests.java,C:\JUNit5Projects\aws-doc-sdk-examples\java\example_code\dynamodb\TryDax\TryDaxTests.java,C:\JUNit5Projects\aws-doc-sdk-examples\java\example_code\dynamodb\TryDax\TryDax.java,java\example_code\dynamodb\TryDax\TryDaxTests.java,java\example_code\dynamodb\TryDax\TryDax.java,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false
aws-doc-sdk-examples,AmazonAthenaTest.java,C:\JUNit5Projects\aws-doc-sdk-examples\javav2\example_code\athena\src\test\java\AmazonAthenaTest.java,,javav2\example_code\athena\src\test\java\AmazonAthenaTest.java,,false,false,false,false,false,true,false,false,true,false,false,false,false,,,false,true,false,false,false,false
aws-doc-sdk-examples,CloudFormationTest.java,C:\JUNit5Projects\aws-doc-sdk-examples\javav2\example_code\cloudformation\src\test\java\CloudFormationTest.java,,javav2\example_code\cloudformation\src\test\java\CloudFormationTest.java,,false,false,false,false,false,false,false,false,true,false,false,false,false,,,false,true,false,false,false,false
aws-doc-sdk-examples,CloudTrailTest.java,C:\JUNit5Projects\aws-doc-sdk-examples\javav2\example_code\cloudtrail\src\test\java\CloudTrailTest.java,,javav2\example_code\cloudtrail\src\test\java\CloudTrailTest.java,,false,false,false,false,false,false,false,false,true,false,false,false,false,,,false,true,false,false,false,false
aws-doc-sdk-examples,CloudWatchTest.java,C:\JUNit5Projects\aws-doc-sdk-examples\javav2\example_code\cloudwatch\src\test\java\CloudWatchTest.java,,javav2\example_code\cloudwatch\src\test\java\CloudWatchTest.java,,true,false,false,false,false,false,true,false,true,false,false,false,false,,,false,true,false,false,false,false
aws-doc-sdk-examples,CodeCommitTest.java,C:\JUNit5Projects\aws-doc-sdk-examples\javav2\example_code\codecommit\src\test\java\CodeCommitTest.java,,javav2\example_code\codecommit\src\test\java\CodeCommitTest.java,,false,false,false,false,false,false,false,false,true,false,false,false,false,,,false,true,false,false,false,false
aws-doc-sdk-examples,CodeDeployTest.java,C:\JUNit5Projects\aws-doc-sdk-examples\javav2\example_code\codedeploy\src\test\java\CodeDeployTest.java,,javav2\example_code\codedeploy\src\test\java\CodeDeployTest.java,,false,false,false,false,false,false,false,false,true,false,false,false,false,,,false,true,false,false,false,false
aws-doc-sdk-examples,AmazonCognitoTest.java,C:\JUNit5Projects\aws-doc-sdk-examples\javav2\example_code\cognito\src\test\java\AmazonCognitoTest.java,,javav2\example_code\cognito\src\test\java\AmazonCognitoTest.java,,true,false,false,false,false,false,true,false,true,false,false,false,false,,,false,true,false,false,false,false
aws-doc-sdk-examples,AmazonComprehendTest.java,C:\JUNit5Projects\aws-doc-sdk-examples\javav2\example_code\comprehend\src\test\java\AmazonComprehendTest.java,,javav2\example_code\comprehend\src\test\java\AmazonComprehendTest.java,,false,false,false,false,false,false,false,false,true,false,false,false,false,,,false,true,false,false,false,false
aws-doc-sdk-examples,DynamoDBTest.java,C:\JUNit5Projects\aws-doc-sdk-examples\javav2\example_code\dynamodb\src\test\java\DynamoDBTest.java,,javav2\example_code\dynamodb\src\test\java\DynamoDBTest.java,,false,false,false,false,false,true,false,false,true,false,false,false,false,,,false,true,false,false,true,false
aws-doc-sdk-examples,EnhancedClientTest.java,C:\JUNit5Projects\aws-doc-sdk-examples\javav2\example_code\dynamodb\src\test\java\EnhancedClientTest.java,,javav2\example_code\dynamodb\src\test\java\EnhancedClientTest.java,,false,false,false,false,false,true,true,false,true,false,false,false,false,,,false,true,false,false,false,false
aws-doc-sdk-examples,DynamoDBAsyncTest.java,C:\JUNit5Projects\aws-doc-sdk-examples\javav2\example_code\dynamodbasync\src\test\java\DynamoDBAsyncTest.java,,javav2\example_code\dynamodbasync\src\test\java\DynamoDBAsyncTest.java,,false,false,false,false,false,false,false,false,true,false,false,false,false,,,false,true,false,false,false,false
aws-doc-sdk-examples,AWSEC2ServiceIntegrationTest.java,C:\JUNit5Projects\aws-doc-sdk-examples\javav2\example_code\ec2\src\test\java\AWSEC2ServiceIntegrationTest.java,,javav2\example_code\ec2\src\test\java\AWSEC2ServiceIntegrationTest.java,,false,false,false,false,false,false,false,false,true,false,false,false,false,,,false,true,false,false,false,false
aws-doc-sdk-examples,EventBridgeTest.java,C:\JUNit5Projects\aws-doc-sdk-examples\javav2\example_code\eventbridge\src\test\java\EventBridgeTest.java,,javav2\example_code\eventbridge\src\test\java\EventBridgeTest.java,,false,false,false,false,false,false,true,false,true,false,false,false,false,,,false,true,false,false,false,false
aws-doc-sdk-examples,FirehoseTest.java,C:\JUNit5Projects\aws-doc-sdk-examples\javav2\example_code\firehose\src\test\java\FirehoseTest.java,,javav2\example_code\firehose\src\test\java\FirehoseTest.java,,false,false,false,false,false,false,true,false,true,false,false,false,false,,,false,true,false,false,false,false
aws-doc-sdk-examples,ForecastTest.java,C:\JUNit5Projects\aws-doc-sdk-examples\javav2\example_code\forecast\src\test\java\ForecastTest.java,,javav2\example_code\forecast\src\test\java\ForecastTest.java,,false,false,false,false,false,false,true,false,true,false,false,false,false,,,false,true,false,false,false,false
aws-doc-sdk-examples,AWSGlacierServiceIntegrationTest.java,C:\JUNit5Projects\aws-doc-sdk-examples\javav2\example_code\glacier\src\test\java\AWSGlacierServiceIntegrationTest.java,,javav2\example_code\glacier\src\test\java\AWSGlacierServiceIntegrationTest.java,,false,false,false,false,false,false,false,true,true,false,false,false,false,,,false,true,false,true,false,false
aws-doc-sdk-examples,GlacierTest.java,C:\JUNit5Projects\aws-doc-sdk-examples\javav2\example_code\glacier\src\test\java\GlacierTest.java,,javav2\example_code\glacier\src\test\java\GlacierTest.java,,false,false,false,false,false,false,false,true,true,false,false,false,false,,,false,true,false,true,false,false
aws-doc-sdk-examples,GlueTest.java,C:\JUNit5Projects\aws-doc-sdk-examples\javav2\example_code\glue\src\test\java\GlueTest.java,,javav2\example_code\glue\src\test\java\GlueTest.java,,false,false,false,false,false,false,false,false,true,false,false,false,false,,,false,true,false,false,false,false
aws-doc-sdk-examples,GuarddutyTest.java,C:\JUNit5Projects\aws-doc-sdk-examples\javav2\example_code\guardduty\src\test\java\GuarddutyTest.java,,javav2\example_code\guardduty\src\test\java\GuarddutyTest.java,,false,false,false,false,false,false,false,false,true,false,false,false,false,,,false,true,false,false,false,false
aws-doc-sdk-examples,IAMServiceTest.java,C:\JUNit5Projects\aws-doc-sdk-examples\javav2\example_code\iam\src\test\java\IAMServiceTest.java,,javav2\example_code\iam\src\test\java\IAMServiceTest.java,,false,false,false,false,false,false,false,false,true,false,false,false,false,,,false,true,false,false,false,false
aws-doc-sdk-examples,KinesisServiceTest.java,C:\JUNit5Projects\aws-doc-sdk-examples\javav2\example_code\kinesis\src\test\java\KinesisServiceTest.java,,javav2\example_code\kinesis\src\test\java\KinesisServiceTest.java,,false,false,false,false,false,true,false,false,true,false,false,false,false,,,false,true,false,false,false,false
aws-doc-sdk-examples,AmazonKMSTest.java,C:\JUNit5Projects\aws-doc-sdk-examples\javav2\example_code\kms\src\test\java\AmazonKMSTest.java,,javav2\example_code\kms\src\test\java\AmazonKMSTest.java,,false,false,false,false,false,false,true,false,true,false,false,false,false,,,false,true,false,false,false,false
aws-doc-sdk-examples,LambdaTest.java,C:\JUNit5Projects\aws-doc-sdk-examples\javav2\example_code\lambda\src\test\java\LambdaTest.java,,javav2\example_code\lambda\src\test\java\LambdaTest.java,,false,false,false,false,false,false,false,false,true,false,false,false,false,,,false,true,false,false,false,false
aws-doc-sdk-examples,AmazonMediaConvertTest.java,C:\JUNit5Projects\aws-doc-sdk-examples\javav2\example_code\mediaconvert\src\test\java\AmazonMediaConvertTest.java,,javav2\example_code\mediaconvert\src\test\java\AmazonMediaConvertTest.java,,false,false,false,false,false,false,true,false,true,false,false,false,false,,,false,true,false,false,false,false
aws-doc-sdk-examples,MediaStoreTest.java,C:\JUNit5Projects\aws-doc-sdk-examples\javav2\example_code\mediastore\src\test\java\MediaStoreTest.java,,javav2\example_code\mediastore\src\test\java\MediaStoreTest.java,,true,false,false,false,false,false,true,false,true,false,false,false,false,,,false,true,false,false,false,false
aws-doc-sdk-examples,MigrationHubTest.java,C:\JUNit5Projects\aws-doc-sdk-examples\javav2\example_code\migrationhub\src\test\java\MigrationHubTest.java,,javav2\example_code\migrationhub\src\test\java\MigrationHubTest.java,,false,false,false,false,false,false,false,false,true,false,false,false,false,,,false,true,false,false,false,false
